"sess","tre","r","activo","i","ordenes_compra","ordenes_venta","bb","bo","precio","dete","dete_a","z","dt"
"fbyj5j85",2,4,1,16,1.48126905439872,2.77756262882601,30,80,NA,0,12,-1.29629357442729,0
"fbyj5j85",2,4,1,17,1.48126905439872,2.77756262882601,30,80,NA,0,12,-1.29629357442729,0
"fbyj5j85",2,4,1,18,1.48126905439872,3.51726300221429,30,80,NA,0,12,-2.03599394781557,0
"fbyj5j85",2,4,1,19,2.24212696830123,3.60675678342772,35,80,NA,0,12,-1.36462981512649,0
"fbyj5j85",2,4,1,20,2.24212696830123,3.60675678342772,35,80,NA,0,12,-1.36462981512649,0
"fbyj5j85",2,4,1,21,2.24212696830123,3.60675678342772,35,80,NA,0,12,-1.36462981512649,0
"fbyj5j85",2,4,1,22,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,23,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,24,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,25,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,26,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,27,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,28,2.29917599199595,4.33516993981153,35,75,NA,0,12,-2.03599394781558,0
"fbyj5j85",2,4,1,29,3.03032360435172,5.74450604231871,60,70,NA,0,12,-2.71418243796699,0
"fbyj5j85",2,4,1,30,2.51752173278743,6.46296808783553,60,60,60,-1,11,-3.9454463550481,0
